Year,United States,Australia,Canada,France,Germany,Italy,Japan,"Korea, Republic of",Mexico,Netherlands,New Zealand,South Africa,Spain,Sweden,Turkey,United Kingdom,group
2007,2095,354,413,882,858,920,2590,1723,5612,248,151,NA,911,101,4597,295,employment in agriculture
2008,2168,360,395,712,871,865,2560,1686,5587,234,148,786,808,100,4700,316,employment in agriculture
2009,2103,365,378,753,647,846,2500,1648,5612,234,143,686,776,97,4861,320,employment in agriculture
2010,2206,372,369,751,633,864,2420,1566,6157,253,149,639,783,94,5270,351,employment in agriculture
2011,2254,328,367,754,648,848,2370,1542,6188,231,153,614,752,92,5659,354,employment in agriculture
2012,2186,334,376,755,620,847,2270,1528,6401,235,151,660,745,96,5567,349,employment in agriculture
1970,26080,1866,2360,NA,12706,7397,17880,1658,NA,NA,NA,NA,NA,1461,NA,NA,employment in industry
1971,25182,1895,2383,8037,12496,7425,18140,1759,NA,NA,NA,NA,NA,1428,NA,10181,employment in industry
1972,25827,1877,2439,8127,12360,7265,18290,1856,NA,NA,NA,NA,NA,1400,NA,10016,employment in industry
1973,27258,1924,2586,8256,12439,7253,19210,2148,NA,1771,NA,NA,NA,1405,NA,10102,employment in industry
1974,27213,1942,2688,8279,12051,7408,19020,2474,NA,1748,NA,NA,NA,1438,NA,10057,employment in industry
1975,25301,1850,2613,8110,11361,7426,18370,2744,NA,1684,NA,NA,NA,1453,NA,9625,employment in industry
1976,26310,1846,2693,8022,11209,7314,18520,3234,NA,1648,NA,NA,NA,1420,NA,9347,employment in industry
1977,27343,1825,2699,8017,11130,7404,18510,3488,NA,1670,NA,NA,4655,1379,NA,9333,employment in industry
1978,28809,1772,2763,7914,11152,7373,18550,3910,NA,1671,NA,NA,4555,1332,NA,9310,employment in industry
1979,29797,1770,2907,7819,11286,7366,18740,4044,NA,1660,NA,NA,4429,1330,NA,9307,employment in industry
1980,29136,1798,2963,7738,11373,7472,19180,3922,NA,1642,NA,NA,4248,1331,NA,8992,employment in industry
1981,28995,1814,3012,7579,11162,7401,19300,3859,NA,1575,NA,NA,4043,1290,NA,8294,employment in industry
1982,27070,1759,2709,7432,10806,7305,19210,3972,NA,1517,NA,NA,3854,1241,NA,7847,employment in industry
1983,25895,1634,2647,7270,10473,7136,19470,4192,NA,1477,NA,NA,3763,1226,NA,7531,employment in industry
1984,27372,1657,2723,7024,10399,6817,19630,4396,NA,1498,NA,NA,3596,1231,NA,8021,employment in industry
1985,27605,1659,2808,6819,10437,6671,19820,4570,NA,1501,NA,NA,3432,1247,NA,8019,employment in industry
1986,27956,1680,2883,6698,10521,6598,19760,4902,NA,1498,457,NA,3509,1261,NA,7927,employment in industry
1987,28087,1705,2947,6606,10493,6492,19560,5522,NA,1513,433,NA,3739,1245,NA,7825,employment in industry
1988,28532,1766,3055,6573,10463,6566,20120,5831,NA,1520,399,NA,3903,1249,NA,8122,employment in industry
1989,28932,1867,3125,6634,10588,6534,20600,6115,NA,1563,379,NA,4080,1272,NA,8286,employment in industry
1990,28756,1826,3054,6676,10875,6628,20890,6336,NA,1615,368,NA,4245,1271,NA,8192,employment in industry
1991,27493,1688,2812,6583,14661,6701,21510,6800,NA,1608,345,NA,4240,1210,NA,8053,employment in industry
1992,26979,1658,2698,6359,14152,6638,21850,6729,NA,1593,338,NA,4082,1090,NA,7265,employment in industry
1993,26866,1678,2630,6073,13611,6850,21670,6478,NA,1573,355,NA,3703,985,NA,7067,employment in industry
1994,27475,1728,2711,5908,13098,6722,21490,6602,NA,1515,395,NA,3599,958,NA,6723,employment in industry
1995,27978,1762,2800,5884,12648,6607,21160,6757,NA,1552,413,NA,3666,1013,NA,6718,employment in industry
1996,28270,1758,2813,5812,12273,6521,21130,6731,NA,1552,418,NA,3722,1010,NA,6819,employment in industry
1997,28973,1757,2929,5734,12033,6472,21260,6591,NA,1600,408,NA,3912,994,NA,6422,employment in industry
1998,29210,1774,3016,5725,12119,6536,20410,5517,NA,1602,409,NA,4150,1004,NA,6427,employment in industry
1999,29033,1771,3103,5749,11959,6551,19990,5521,NA,1637,396,NA,4435,997,NA,6316,employment in industry
2000,30050,1856,3204,5838,11898,6542,19710,5890,NA,1662,408,NA,4702,1000,NA,6202,employment in industry
2001,29127,1800,3223,5921,11731,6596,19120,5870,NA,1695,411,NA,4951,996,NA,6141,employment in industry
2002,27716,1853,3318,5893,11421,6661,18170,6005,NA,1651,422,NA,5077,970,NA,6043,employment in industry
2003,27565,1889,3362,5806,11057,6674,17800,6038,NA,1579,426,NA,5199,944,NA,5876,employment in industry
2004,27791,1960,3430,5735,10926,6712,17310,6010,NA,1608,448,NA,5357,936,NA,5792,employment in industry
2005,28074,2014,3435,5708,10533,6774,17050,5959,10235,1615,451,NA,5519,914,NA,5799,employment in industry
2006,28813,2076,3415,5725,10706,6764,17190,5905,10610,1616,468,NA,5708,931,5348,5826,employment in industry
2007,28894,2135,3416,5751,11023,6860,17210,5880,10774,1584,468,NA,5837,944,5413,5879,employment in industry
2008,27697,2231,3457,5690,11139,6685,16880,5797,10623,1526,460,3480,5450,951,5558,5711,employment in industry
2009,24611,2181,3191,5431,10518,6440,16020,5579,10150,1465,437,3181,4446,863,5260,5263,employment in industry
2010,23889,2205,3216,5316,10429,6247,15620,5801,10644,1394,434,3104,4059,857,5748,5173,employment in industry
2011,24192,2226,3290,5330,10642,6193,15490,5859,10823,1352,429,3131,3734,876,6155,5139,employment in industry
2012,24607,2236,3349,5221,10710,5995,15330,5893,11059,1353,424,3090,3355,870,6228,5169,employment in industry
1970,20746,1312,1768,NA,10305,5293,13750,1268,NA,NA,NA,NA,NA,1068,NA,NA,employment in manufacturing
1971,19606,1330,1766,5824,9813,5329,13820,1332,NA,NA,NA,NA,NA,1057,NA,8186,employment in manufacturing
1972,19943,1316,1823,5909,9690,5217,13810,1415,NA,NA,NA,NA,NA,1049,NA,7968,employment in manufacturing
1973,21054,1346,1927,6018,9771,5259,14420,1732,NA,1277,NA,NA,NA,1069,NA,7948,employment in manufacturing
1974,21025,1351,1978,6061,9569,5420,14250,1977,NA,1282,NA,NA,NA,1123,NA,7996,employment in manufacturing
1975,19457,1249,1871,5953,9113,5424,13430,2175,NA,1241,NA,NA,NA,1141,NA,7622,employment in manufacturing
1976,20261,1262,1855,5884,8950,5406,13440,2644,NA,1204,NA,NA,NA,1103,NA,7381,employment in manufacturing
1977,20889,1254,1845,5874,8931,5437,13350,2764,NA,1209,NA,NA,3276,1063,NA,7438,employment in manufacturing
1978,21784,1199,1911,5793,8923,5380,13220,2986,NA,1195,NA,NA,3221,1026,NA,7406,employment in manufacturing
1979,22459,1198,2030,5714,8996,5364,13290,3099,NA,1176,NA,NA,3156,1029,NA,7333,employment in manufacturing
1980,21942,1222,2074,5635,8998,5433,13630,2955,NA,1176,NA,NA,3051,1028,NA,7003,employment in manufacturing
1981,21817,1230,2075,5502,8828,5328,13800,2859,NA,1157,NA,NA,2917,987,NA,6384,employment in manufacturing
1982,20286,1190,1870,5409,8567,5228,13740,3033,NA,1107,NA,NA,2738,949,NA,6023,employment in manufacturing
1983,18511,1122,1840,5331,8284,5074,14010,3266,NA,1061,NA,NA,2680,944,NA,5697,employment in manufacturing
1984,19442,1125,1918,5189,8285,4876,14330,3348,NA,1077,NA,NA,2633,956,NA,5963,employment in manufacturing
1985,19387,1079,1961,5049,8403,4761,14480,3504,NA,1099,NA,NA,2518,971,NA,6015,employment in manufacturing
1986,19492,1086,2030,4935,8515,4715,14390,3826,NA,1114,341,NA,2547,987,NA,6005,employment in manufacturing
1987,19497,1097,2037,4828,8506,4636,14200,4416,NA,1118,321,NA,2683,956,NA,5777,employment in manufacturing
1988,19857,1132,2095,4766,8479,4719,14500,4667,NA,1110,291,NA,2745,959,NA,6046,employment in manufacturing
1989,20197,1163,2125,4788,8594,4726,14800,4882,NA,1154,273,NA,2817,971,NA,5994,employment in manufacturing
1990,19917,1133,2047,4814,8839,4755,15010,4911,NA,1192,266,NA,2889,946,NA,5915,employment in manufacturing
1991,19241,1057,1888,4747,11315,4729,15460,5156,NA,1174,262,NA,2824,886,NA,5888,employment in manufacturing
1992,18855,1046,1813,4594,10731,4676,15650,4980,NA,1186,252,NA,2759,806,NA,5370,employment in manufacturing
1993,18510,1037,1777,4405,10099,5069,15260,4720,NA,1157,267,NA,2498,736,NA,5272,employment in manufacturing
1994,18954,1069,1821,4290,9525,5027,14920,4758,NA,1102,295,NA,2424,728,NA,4788,employment in manufacturing
1995,19300,1075,1901,4276,9017,4963,14520,4818,NA,1120,304,NA,2404,772,NA,4818,employment in manufacturing
1996,19355,1071,1922,4243,8643,4895,14420,4725,NA,1104,298,NA,2417,774,NA,4942,employment in manufacturing
1997,19669,1091,2019,4204,8521,4857,14390,4537,NA,1125,287,NA,2537,765,NA,4379,employment in manufacturing
1998,19686,1062,2101,4202,8687,4934,13780,3917,NA,1126,293,NA,2703,772,NA,4347,employment in manufacturing
1999,19128,1033,2186,4202,8591,4928,13410,4027,NA,1144,282,NA,2797,760,NA,4222,employment in manufacturing
2000,19644,1083,2240,4241,8647,4893,13180,4293,NA,1159,285,NA,2915,762,NA,4057,employment in manufacturing
2001,18434,1052,2227,4280,8626,4865,12800,4267,NA,1162,294,NA,3012,752,NA,3926,employment in manufacturing
2002,17233,1068,2288,4234,8504,4899,11990,4241,NA,1128,296,NA,3033,722,NA,3808,employment in manufacturing
2003,16902,1045,2277,4141,8286,4873,11750,4205,NA,1088,277,NA,3035,696,NA,3543,employment in manufacturing
2004,16484,1055,2290,4074,8242,4843,11470,4177,NA,1108,287,NA,3045,684,NA,3360,employment in manufacturing
2005,16253,1036,2206,4024,8015,4822,11390,4130,6813,1107,279,NA,3107,649,NA,3291,employment in manufacturing
2006,16377,1025,2105,3987,8145,4823,11600,4057,7016,1094,273,NA,3103,649,4037,3242,employment in manufacturing
2007,16302,1043,2029,3966,8391,4868,11670,4014,7009,1054,272,NA,3085,646,4057,3223,employment in manufacturing
2008,15904,1063,1960,3741,8510,4663,11480,3962,6857,971,271,1990,2948,637,4206,3048,employment in manufacturing
2009,14202,1018,1781,3525,7848,4446,10800,3836,6508,920,250,1804,2515,561,3860,2788,employment in manufacturing
2010,14081,996,1743,3384,7747,4264,10580,4028,6909,884,247,1739,2368,547,4205,2849,employment in manufacturing
2011,14336,967,1758,3412,7898,4309,10470,4091,7036,857,250,1766,2303,558,4357,2845,employment in manufacturing
2012,14686,967,1784,3321,7915,4206,10300,4105,7259,854,246,1714,2173,544,4409,2890,employment in manufacturing
1970,49135,3088,4955,NA,11183,7847,23776,3113,NA,NA,NA,NA,NA,2074,NA,NA,employment in services
1971,50791,3196,5114,9120,11633,7774,24486,3390,NA,NA,NA,NA,NA,2125,NA,13401,employment in services
1972,52842,3282,5330,9327,11933,7899,24987,3285,NA,NA,NA,NA,NA,2168,NA,13681,employment in services
1973,54336,3417,5602,9651,12246,8190,25897,3349,NA,2973,NA,NA,NA,2191,NA,13975,employment in services
1974,56066,3539,5858,9944,12387,8514,26153,3466,NA,3047,NA,NA,NA,2253,NA,14137,employment in services
1975,57137,3609,6107,10063,12459,8738,26782,3608,NA,3085,NA,NA,NA,2341,NA,14480,employment in services
1976,59111,3708,6418,10422,12601,8989,27304,3664,NA,3159,NA,NA,NA,2407,NA,14615,employment in services
1977,61391,3775,6599,10712,12797,9164,28100,3982,NA,3247,NA,NA,5271,2465,NA,14656,employment in services
1978,63852,3882,6837,10981,13032,9320,28721,4348,NA,3292,NA,NA,5277,2526,NA,14810,employment in services
1979,65680,3942,7116,11205,13410,9604,29440,4692,NA,3401,NA,NA,5353,2601,NA,15088,employment in services
1980,66803,4076,7375,11410,13740,9853,29908,5107,NA,3593,NA,NA,5351,2658,NA,15316,employment in services
1981,68034,4183,7642,11554,13956,10174,30427,5363,NA,3687,NA,NA,5383,2692,NA,15346,employment in services
1982,69055,4241,7609,12610,14054,10439,31158,5795,NA,3713,NA,NA,5506,2736,NA,15331,employment in services
1983,71556,4248,7739,12803,14045,10684,32015,5998,NA,3658,NA,NA,5524,2761,NA,15477,employment in services
1984,74312,4432,7947,12923,14218,11185,32376,6119,NA,3706,NA,NA,5474,2799,NA,15504,employment in services
1985,76366,4627,8206,13227,14418,11559,32615,6667,NA,3859,NA,NA,5553,2837,NA,15876,employment in services
1986,78478,4869,8453,13609,14721,11802,33276,6941,NA,3954,993,NA,5865,2860,NA,16144,employment in services
1987,81145,5011,8719,13774,14998,11960,34115,7252,NA,3959,1025,NA,6215,2900,NA,16707,employment in services
1988,83267,5200,8985,13958,15286,12265,34703,7555,NA,4112,1011,NA,6523,2967,NA,17224,employment in services
1989,85211,5427,9206,14285,15613,12312,35503,8007,NA,4197,988,NA,6888,3015,NA,17753,employment in services
1990,86814,5596,9370,14394,16112,12573,36546,8512,NA,4343,1005,NA,7149,3063,NA,17994,employment in services
1991,86956,5568,9392,14467,20696,12856,37380,9124,NA,4522,1003,NA,7399,3068,NA,17391,employment in services
1992,88266,5576,9408,14717,20846,12861,37872,9613,NA,4695,1012,NA,7414,3012,NA,17598,employment in services
1993,90278,5594,9531,14905,21109,12889,38506,10164,NA,4715,1027,NA,7329,2883,NA,17623,employment in services
1994,92176,5790,9717,15069,21471,12694,38820,10755,NA,4824,1050,NA,7399,2877,NA,18152,employment in services
1995,93482,6066,9879,15420,22005,12738,39227,11254,NA,5000,1111,NA,7665,2896,NA,18449,employment in services
1996,94995,6164,10003,15655,22291,12936,39677,11799,NA,5131,1157,NA,7988,2873,NA,18612,employment in services
1997,97186,6242,10193,15690,22440,13047,40317,12338,NA,5308,1197,NA,8274,2858,NA,19575,employment in services
1998,98875,6424,10433,15924,22918,13209,40794,12024,NA,5547,1182,NA,8583,2913,NA,19889,employment in services
1999,101174,6560,10718,16228,23057,13474,40774,12468,NA,5713,1207,NA,9112,2990,NA,20395,employment in services
2000,104377,6691,10994,16796,23379,13809,41010,13023,NA,5891,1239,NA,9668,3107,NA,20843,employment in services
2001,105507,6853,11221,17066,23668,14116,41370,13554,NA,6065,1272,NA,10038,3196,NA,21176,employment in services
2002,106458,7012,11473,17377,23686,14352,41670,14095,NA,6206,1321,NA,10449,3235,NA,21519,employment in services
2003,107896,7229,11787,17528,23658,14386,41931,14151,NA,6234,1375,NA,10999,3249,NA,21950,employment in services
2004,109229,7343,11984,17746,23811,14426,42621,14723,NA,6182,1427,NA,11517,3237,NA,22329,employment in services
2005,111459,7628,12159,17985,24727,14572,43188,15084,24113,6163,1489,NA,12320,3321,NA,22596,employment in services
2006,113408,7829,12471,18128,25400,14978,43509,15465,25086,6310,1518,NA,12970,3387,10114,22833,employment in services
2007,115058,8087,12875,18579,25882,15172,43859,15830,25739,6562,1555,NA,13460,3486,10405,22973,employment in services
2008,115497,8286,13133,19176,26335,15594,44050,16094,26390,6763,1581,9597,13855,3530,10562,23326,employment in services
2009,113163,8407,13163,19161,27114,15473,44041,16279,27041,6829,1584,9586,13513,3527,10706,23295,employment in services
2010,112969,8612,13384,19336,27487,15486,44381,16462,27852,6660,1598,9317,13467,3561,11094,23404,employment in services
2011,113423,8835,13581,19405,28259,15672,44472,16843,28667,6723,1634,9518,13486,3647,11738,23584,employment in services
2012,115676,8931,13720,19571,28542,15778,44552,17260,29678,6776,1642,9771,13055,3679,12413,23921,employment in services
1970,4.4,8.1,7.6,NA,8.5,20.1,16.9,50.4,NA,NA,NA,NA,NA,8.2,NA,NA,percent of employment in agriculture
1971,4.3,7.7,7.5,16,8,20.1,15.5,48.2,NA,NA,NA,NA,NA,7.8,NA,3.1,percent of employment in agriculture
1972,4.2,7.9,6.9,15,7.6,19,14.5,50.5,NA,NA,NA,NA,NA,7.5,NA,2.9,percent of employment in agriculture
1973,4.1,7.4,6.5,14.1,7.2,18.2,13.1,49.8,NA,6.1,NA,NA,NA,7.1,NA,2.9,percent of employment in agriculture
1974,4,7,6.3,13.3,6.9,17.4,12.6,48,NA,6,NA,NA,NA,6.7,NA,2.7,percent of employment in agriculture
1975,4,6.9,6.1,12.9,6.7,16.7,12.4,45.7,NA,5.9,NA,NA,NA,6.5,NA,2.7,percent of employment in agriculture
1976,3.8,6.6,5.6,12.3,6.2,16.4,11.9,44.4,NA,5.7,NA,NA,NA,6.2,NA,2.7,percent of employment in agriculture
1977,3.6,6.7,5.4,11.8,5.9,15.8,11.6,41.7,NA,5.6,NA,NA,20.4,6.1,NA,2.7,percent of employment in agriculture
1978,3.5,6.4,5.2,11.4,5.7,15.4,11.4,38.4,NA,5.6,NA,NA,19.9,6.1,NA,2.7,percent of employment in agriculture
1979,3.4,6.5,5.1,11.1,5.3,14.9,10.8,35.8,NA,5.4,NA,NA,19.2,5.8,NA,2.6,percent of employment in agriculture
1980,3.4,6.5,4.9,10.7,5.2,14.2,10.1,34,NA,5.2,NA,NA,18.5,5.6,NA,2.5,percent of employment in agriculture
1981,3.4,6.5,4.8,10.4,5,13.3,9.7,34.2,NA,5.2,NA,NA,17.9,5.6,NA,2.6,percent of employment in agriculture
1982,3.4,6.5,4.9,9.6,4.9,12.4,9.4,32.1,NA,5.3,NA,NA,17.7,5.6,NA,2.6,percent of employment in agriculture
1983,3.4,6.6,5,9.3,4.8,12.3,8.9,29.7,NA,5.3,NA,NA,17.9,5.5,NA,2.6,percent of employment in agriculture
1984,3.2,6.2,4.8,9.1,4.7,11.7,8.5,27.1,NA,5.2,NA,NA,17.6,5.1,NA,2.5,percent of employment in agriculture
1985,3,6.1,4.7,8.7,4.5,11,8.4,24.9,NA,5.1,NA,NA,17.6,4.9,NA,2.2,percent of employment in agriculture
1986,2.9,6.1,4.7,8.4,4.3,10.7,8.1,23.6,NA,5,10.4,NA,15.6,4.7,NA,2.1,percent of employment in agriculture
1987,2.9,5.8,4.5,8,4.1,10.4,8,21.9,NA,4.9,10.3,NA,14.5,4.5,NA,2.2,percent of employment in agriculture
1988,2.8,5.8,4.4,7.7,3.9,9.8,7.6,20.6,NA,4.8,10.3,NA,13.8,4.4,NA,2.2,percent of employment in agriculture
1989,2.7,5.5,4.2,7.3,3.7,9.3,7.3,19.6,NA,4.7,10.3,NA,12.5,4.3,NA,2.1,percent of employment in agriculture
1990,2.7,5.6,4.2,6.9,3.5,8.9,6.9,17.9,NA,4.7,10.6,NA,11.4,4,NA,2,percent of employment in agriculture
1991,2.8,5.5,4.3,6.6,4.1,8.5,6.4,14.6,NA,4.6,10.7,NA,10.2,3.8,NA,2.2,percent of employment in agriculture
1992,2.7,5.3,4.2,6.3,3.8,8.2,6.1,14,NA,4.1,10.9,NA,9.7,3.8,NA,2.1,percent of employment in agriculture
1993,2.6,5.3,4.3,6,3.5,6.4,5.7,13.5,NA,4,10.6,NA,9.6,4,NA,1.9,percent of employment in agriculture
1994,2.8,5.1,4.2,5.7,3.3,6.2,5.6,12.6,NA,4.1,10.4,NA,9.3,3.9,NA,2,percent of employment in agriculture
1995,2.8,4.9,4,5.5,3.1,5.9,5.5,11.8,NA,3.9,9.7,NA,8.8,3.5,NA,2,percent of employment in agriculture
1996,2.7,5,3.9,5.3,3,5.6,5.3,11.1,NA,4,9.5,NA,8.3,3.3,NA,1.9,percent of employment in agriculture
1997,2.6,5.1,3.8,5.2,2.9,5.4,5.1,10.8,NA,3.8,8.3,NA,8.1,3.1,NA,1.6,percent of employment in agriculture
1998,2.6,4.9,3.8,5,2.8,5.2,5,12,NA,3.4,8.5,NA,7.8,3,NA,1.4,percent of employment in agriculture
1999,2.5,4.9,3.5,4.9,2.8,4.9,4.9,11.3,NA,3.2,9.2,NA,7.1,3.1,NA,1.2,percent of employment in agriculture
2000,1.8,4.9,3.3,4.6,2.6,4.7,4.8,10.6,NA,3.2,8.5,NA,6.6,2.9,NA,1.2,percent of employment in agriculture
2001,1.7,4.8,2.8,4.5,2.6,4.6,4.7,10,NA,3,8.8,NA,6.5,2.6,NA,1.1,percent of employment in agriculture
2002,1.7,4.4,2.8,4.3,2.5,4.5,4.5,9.3,NA,3,8.5,NA,6,2.5,NA,1,percent of employment in agriculture
2003,1.7,3.9,2.7,4.2,2.5,4.4,4.4,8.8,NA,3,7.9,NA,5.7,2.5,NA,1,percent of employment in agriculture
2004,1.6,3.7,2.7,3.9,2.4,4.5,4.3,8.1,NA,3.1,7.3,NA,5.5,2.5,NA,0.9,percent of employment in agriculture
2005,1.6,3.6,2.7,3.7,2.4,4.2,4.2,7.9,14.8,3.3,6.9,NA,5.2,2.3,NA,1,percent of employment in agriculture
2006,1.5,3.4,2.6,3.8,2.3,4.3,4.1,7.7,14,3.3,6.9,NA,4.7,2.2,23.2,1,percent of employment in agriculture
2007,1.4,3.3,2.5,3.5,2.3,4,4.1,7.4,13.3,3,7,NA,4.5,2.2,22.5,1,percent of employment in agriculture
2008,1.5,3.3,2.3,2.8,2.3,3.7,4,7.2,13.1,2.7,6.7,5.7,4,2.2,22.6,1.1,percent of employment in agriculture
2009,1.5,3.3,2.3,3,1.7,3.7,4,7,13.1,2.7,6.6,5.1,4.1,2.2,23.3,1.1,percent of employment in agriculture
2010,1.6,3.3,2.2,3,1.6,3.8,3.9,6.6,13.8,3.1,6.8,4.9,4.3,2.1,23.8,1.2,percent of employment in agriculture
2011,1.6,2.9,2.1,3,1.6,3.7,3.8,6.4,13.5,2.8,6.9,4.6,4.2,2,24,1.2,percent of employment in agriculture
2012,1.5,2.9,2.2,3,1.6,3.7,3.7,6.2,13.6,2.8,6.8,4.9,4.3,2.1,23,1.2,percent of employment in agriculture
1970,33.1,34.6,29.8,NA,48.7,38.8,35.7,17.2,NA,NA,NA,NA,NA,38,NA,NA,percent of employment in industry
1971,31.7,34.4,29.4,39.4,47.7,39,35.9,17.7,NA,NA,NA,NA,NA,37.1,NA,41.8,percent of employment in industry
1972,31.4,33.5,29.2,39.6,47,38.8,36.2,17.9,NA,NA,NA,NA,NA,36.3,NA,41.1,percent of employment in industry
1973,32,33.4,29.5,39.6,46.8,38.4,37,19.6,NA,35.1,NA,NA,NA,36.3,NA,40.8,percent of employment in industry
1974,31.4,33,29.5,39.4,45.9,38.4,36.8,21.7,NA,34.3,NA,NA,NA,36.4,NA,40.5,percent of employment in industry
1975,29.5,31.5,28.1,38.9,44.5,38.3,35.6,23.5,NA,33.2,NA,NA,NA,35.8,NA,38.9,percent of employment in industry
1976,29.6,31,27.9,38.1,44.1,37.5,35.6,26.1,NA,32.3,NA,NA,NA,34.8,NA,38,percent of employment in industry
1977,29.7,30.4,27.5,37.8,43.8,37.6,35.1,27.2,NA,32.1,NA,NA,37.3,33.7,NA,37.9,percent of employment in industry
1978,30,29.3,27.3,37.1,43.5,37.4,34.8,29.2,NA,31.8,NA,NA,37.1,32.4,NA,37.6,percent of employment in industry
1979,30.2,29,27.5,36.6,43.3,37,34.7,29.7,NA,31,NA,NA,36.6,31.9,NA,37.2,percent of employment in industry
1980,29.3,28.6,27.3,36.1,42.9,37,35.1,28.7,NA,29.7,NA,NA,36.1,31.5,NA,36.1,percent of employment in industry
1981,28.9,28.3,26.9,35.5,42.2,36.5,35.1,27.5,NA,28.4,NA,NA,35.2,30.6,NA,34.2,percent of employment in industry
1982,27.2,27.4,25,33.5,41.3,36.1,34.5,27.6,NA,27.5,NA,NA,33.9,29.4,NA,33,percent of employment in industry
1983,25.7,25.9,24.2,32.8,40.6,35.1,34.4,28.9,NA,27.3,NA,NA,33.3,29.1,NA,31.9,percent of employment in industry
1984,26.1,25.5,24.3,32,40.3,33.4,34.5,30.5,NA,27.3,NA,NA,32.7,29,NA,33.2,percent of employment in industry
1985,25.8,24.8,24.3,31,40.1,32.6,34.6,30.5,NA,26.6,NA,NA,31.5,29.1,NA,32.8,percent of employment in industry
1986,25.5,24.1,24.2,30.2,39.9,32,34.2,31.6,NA,26.1,28.2,NA,31.6,29.2,NA,32.2,percent of employment in industry
1987,25,23.9,24.1,29.8,39.5,31.5,33.5,33.8,NA,26.3,26.6,NA,32.1,28.7,NA,31.2,percent of employment in industry
1988,24.8,23.9,24.3,29.6,39,31.5,33.9,34.6,NA,25.7,25.3,NA,32.3,28.3,NA,31.3,percent of employment in industry
1989,24.7,24.2,24.3,29.4,38.9,31.5,34.1,34.8,NA,25.9,24.9,NA,32.5,28.4,NA,31.1,percent of employment in industry
1990,24.2,23.2,23.6,29.5,38.9,31.4,33.9,35,NA,25.8,24,NA,33,28.2,NA,30.7,percent of employment in industry
1991,23.4,22,22,29.2,39.8,31.4,34.2,36.5,NA,25,22.8,NA,32.7,27.2,NA,31,percent of employment in industry
1992,22.8,21.7,21.3,28.3,38.9,31.3,34.3,35.4,NA,24.3,22.3,NA,32.1,25.6,NA,28.6,percent of employment in industry
1993,22.3,21.9,20.7,27.2,37.8,32.5,34,33.7,NA,24,23,NA,30.3,24.5,NA,28.1,percent of employment in industry
1994,22.3,21.8,20.9,26.5,36.6,32.5,33.7,33.3,NA,22.9,24.5,NA,29.7,24,NA,26.5,percent of employment in industry
1995,22.4,21.4,21.2,26.1,35.3,32.1,33.1,33.1,NA,22.8,24.5,NA,29.5,25,NA,26.2,percent of employment in industry
1996,22.3,21.1,21.1,25.6,34.4,31.6,32.9,32.3,NA,22.3,24,NA,29.1,25.2,NA,26.3,percent of employment in industry
1997,22.4,20.9,21.5,25.4,33.9,31.4,32.8,31.1,NA,22.3,23.3,NA,29.5,25,NA,24.3,percent of employment in industry
1998,22.2,20.6,21.6,25.1,33.6,31.4,31.7,27.7,NA,21.6,23.5,NA,30.1,24.9,NA,24.1,percent of employment in industry
1999,21.7,20.2,21.7,24.9,33.2,31.1,31.3,27.2,NA,21.6,22.4,NA,30.4,24.2,NA,23.3,percent of employment in industry
2000,22,20.6,21.8,24.6,32.8,30.6,30.9,27.8,NA,21.3,22.7,NA,30.6,23.6,NA,22.7,percent of employment in industry
2001,21.3,19.8,21.7,24.6,32.3,30.4,30.1,27.2,NA,21.2,22.3,NA,30.9,23.1,NA,22.2,percent of employment in industry
2002,20.3,20,21.8,24.2,31.7,30.3,29,27.1,NA,20.4,22.1,NA,30.7,22.5,NA,21.7,percent of employment in industry
2003,20,19.9,21.6,23.8,31,30.3,28.5,27.3,NA,19.6,21.8,NA,30.3,22,NA,20.9,percent of employment in industry
2004,20,20.3,21.7,23.5,30.7,30.3,27.6,26.6,NA,20,22.1,NA,30,21.9,NA,20.4,percent of employment in industry
2005,19.8,20.1,21.4,23.2,29.2,30.4,27.1,26.1,25.4,20.1,21.6,NA,29.3,21.1,NA,20.2,percent of employment in industry
2006,19.9,20.2,20.9,23.1,29,29.8,27.2,25.5,25.6,19.7,21.9,NA,29.1,21.1,26.6,20.1,percent of employment in industry
2007,19.8,20.2,20.4,22.8,29.2,29.9,27,25.1,25.6,18.9,21.5,NA,28.9,20.8,26.5,20.2,percent of employment in industry
2008,19.1,20.5,20.4,22.2,29,28.9,26.6,24.6,24.9,17.9,21,25.1,27.1,20.8,26.7,19.5,percent of employment in industry
2009,17.6,19.9,19.1,21.4,27.5,28.3,25.6,23.7,23.7,17.2,20.2,23.6,23.7,19.2,25.3,18.2,percent of employment in industry
2010,17.2,19.7,19,20.9,27.1,27.6,25,24.3,23.8,16.8,19.9,23.8,22.2,19,26,17.9,percent of employment in industry
2011,17.3,19.5,19.1,20.9,26.9,27.3,24.9,24.2,23.7,16.3,19.4,23.6,20.8,19,26.1,17.7,percent of employment in industry
2012,17.3,19.4,19.2,20.4,26.9,26.5,24.7,23.9,23.5,16.2,19.1,22.9,19.6,18.7,25.7,17.6,percent of employment in industry
1970,26.4,24.4,22.3,NA,39.5,27.7,27.4,13.2,NA,NA,NA,NA,NA,27.7,NA,NA,percent of employment in manufacturing
1971,24.7,24.1,21.8,28.5,37.4,28,27.4,13.4,NA,NA,NA,NA,NA,27.4,NA,33.6,percent of employment in manufacturing
